,text,score,method
25,@Thespidae This is really truly incredible and I am in shock and awe. J,0.9998548030853271,transformers_pipeline
26,@Thespidae it's an excellent corner and i enjoy it a lot,0.9998555183410645,transformers_pipeline
27,@Thespidae This... this is amazing,0.9998600482940674,transformers_pipeline
28,@Thespidae MFW THIS MADE ME LAUGH SO MUCH THIS IS PERFECT.,0.9998602867126465,transformers_pipeline
29,"@Thespidae You are positively awe-inspiring, what an icon, what a legend 😔✊✨ oh to exude this energy",0.9998646974563599,transformers_pipeline
30,"@Thespidae just. the expressions, the lighting, the hands. I'm so, so in love with this. I've been thinking about them non-stop since yesterday and it's just such a treat to see your art, as always!!",0.9998652935028076,transformers_pipeline
31,"@Thespidae SJ this is so stellar... the poses and the detailing is AMAZING, I have to read this fic 🤩👀💖",0.9998692870140076,transformers_pipeline
32,@Thespidae You've no idea how this oc is a mixture of everything that I love. Thank you. (Also you look AMAZING!!),0.9998695850372314,transformers_pipeline
33,"@Thespidae 👀👀👀👀👀👀👀👀👀👀👀👀 
these expressions are so pleasant to look at, the lighting is so nice .... this is all very good",0.9998707175254822,transformers_pipeline
34,"@Thespidae gods this is just. so fantastic?? matches the mental image I got from the fic, too, it’s just so good!!",0.9998717904090881,transformers_pipeline
35,@Thespidae the detail in this.... i LOVE IT....,0.9998722672462463,transformers_pipeline
36,@Thespidae OH WOW THIS IS SO PRETTY. the lace and shiny bits and all of it is so good,0.9998747110366821,transformers_pipeline
37,"@Thespidae you're so animated, tis wonderful",0.9998766183853149,transformers_pipeline
38,@Thespidae i love the blues and reds in this... and their facial expressions are So good...,0.999876856803894,transformers_pipeline
39,"@Thespidae (i dont art much so i'll just compliment YOU) your art feels so ALIVE and emotive, much like you! your attention to detail and historical accuracy is phenomenal and i can see the passion behind your work. very good stuff 👌",0.9998770952224731,transformers_pipeline
40,MOBA stands for Mediatory Outrageous Basifixed Asilidae,-1.0,textblob
41,"@DylanEpicGamer It sounds terrible, but i think it would be something like Sløyhumbie.
Ribbon=sløyfe
Bombyliidae=humlefluer
Bee=bie",-1.0,textblob
42,@Carnidae innovating on the cid concept by making him just 30 and terrible instead,-1.0,textblob
43,"The Triatominae, a subfamily of the Reduviidae, are also known as Conenose bugs, Kissing bugs (so-called from their habit of feeding around the mouths of people), or Vampire bugs. Nasty !! https://t.co/wtHblmKshp",-1.0,textblob
44,"Joking about hypnotising all the Formicidae, in my trousers was so awful, it gave me ants in my tranced bants pants.. #1pun",-1.0,textblob
45,"@Thespidae sj i will die if you draw it
i just... want some awful content for this ship, too",-1.0,textblob
46,Design of a Repellent Against Aedes aegypti (Diptera: Culicidae) Using in silico Simulations With AaegOBP1 Protein. https://t.co/f7xv7dF91O,-0.9,textblob
47,Quantitative Evaluation of the Behavioral Response to Attractant and Repellent Compounds in Anopheles pseudopunctipennis and Aedes aegypti (Diptera: Culicidae) Larvae. https://t.co/ST3iRFXw3e,-0.9,textblob
48,Quantitative Evaluation of the Behavioral Response to Attractant and Repellent Compounds in Anopheles pseudopunctipennis and Aedes aegypti (Diptera: Culicidae) Larvae. https://t.co/N1JlIFOl7q,-0.9,textblob
49,@Zyg_Zygaenidae @autismbot2 @AliceAvizandum oh gawd that's horrifying 🤢,-0.9,textblob
50,@ff14graha hating against your fellow bug ? 👎 girl just say you hate formicidae and go,-0.8,textblob
51,@Thespidae i hate them a lot,-0.8,textblob
52,@americanbeetles Eye peaks? Corny head and prothorax? Staphylinidae have always been weird but this...?!?!?,-0.78125,textblob
53,Hungry? This pond skater (family Gerridae) tucks into an unfortunate beetle! Yum! #backyardsafari https://t.co/yfpc7SOwiC,-0.78125,textblob
54,@Carnidae You wouldn't have had to if this was tumblr :(,-0.75,textblob
55,@Thespidae i miss that painting &gt;:( i don't know where it is anymore cause it was a temporary exhibit,-0.75,textblob
56,This is the worst thing I saw today when my Weird Condensed Almond Milk came in the mail so I'd have something to put in my quarantine coffee. https://t.co/iRAUPa5BwT,-0.75,textblob
57,@Carnidae I ATE TWO OF  THEM and feel sick .,-0.7142857142857143,textblob
58,Digging through 1885 NYT articles to gather things for Ghost Story and found these Sleepy Ghosts on October 11th who were sick of listening to some sitters' singing. https://t.co/7wXLSr0KAn,-0.7142857142857143,textblob
59,@8Bit_KinkyHobo @Carnidae I want him BADLY ;×;,-0.6999999999999998,textblob
60,Not the best wasp to see around your bee hotel where it comes to the bees. https://t.co/VzPtsPtQR6 https://t.co/bAcWdb0KwK,1.0,textblob
61,Got permission to go into ⁦@NMNH_Entomology⁩ today for 6 hours! Yippee!!! I realized I miss talking to my #SysentLab colleagues in person. It was great to work with #pyraloid moth specimens again! Torticulladia eucosmella Dyar below (Crambidae: Crambinae) https://t.co/ABTHH6NG9q,1.0,textblob
62,"Quarantine day 37: Moth, but, what if hand? My best guess is this is in the family Hepialidae, a ghost moth. https://t.co/KIdFiOaffd",1.0,textblob
63,@brown_birds A Saturniidae!!!!! Beautiful!!!,1.0,textblob
64,@_mantidae I’ll text you some awesome people I’ve shot with 💘💘💘,1.0,textblob
65,@Thespidae PERFECT!!!!,1.0,textblob
66,@Thespidae this is killing me... your jonah is always so excellent,1.0,textblob
67,@Thespidae GORGEOUS!!!!!,1.0,textblob
68,"@Thespidae Also, best regards to bosun 💕",1.0,textblob
69,"@Thespidae you're so animated, tis wonderful",1.0,textblob
70,@Thespidae IM YELLING THIS IS PERFECT.....,1.0,textblob
71,@Thespidae JFBFBFBFBDBDB THIS IS EXCELLENT THANK U,1.0,textblob
72,@Thespidae WHY DOES YOUR STYLE HAVE TO BE SO WONDERFUL,1.0,textblob
73,@Thespidae I’m your greatest naysayer,1.0,textblob
74,"@Thespidae I would say I prefer ""D"" the best :D",1.0,textblob
75,"@Thespidae (a very beautiful vampire, tbh)",1.0,textblob
76,@Thespidae Oh this is excellent,1.0,textblob
77,@Thespidae That waistcoat and eye pendant are incredible!,1.0,textblob
78,Unrepentant knife cat is the best thing Elias has ever been called https://t.co/KbvaCSrAD1,1.0,textblob
79,@entoarron @africaddis @sharonf19710593 Not the best angle. Limnephilidae perhaps Stenophylax but I’ll leave it to @sharonf19710593 to confirm,1.0,textblob
